# Backtest method: MAX RELIABILITY (win_rate only)
# Lookback = 365 calendar days
# Generated 2026-06-12 11:09:24  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date (ATM call at the optimal time)
date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
2026-01-21,NVDA,NVDA260121C00185000,185.0,SIM,3:30 PM,0.0639,3:40 PM,0.0718,0.008,0.8,True,
2026-01-23,NVDA,NVDA260123C00190000,190.0,REAL,3:30 PM,0.01,3:40 PM,0.01,0.0,0.0,False,
2026-01-26,NVDA,NVDA260126C00185000,185.0,SIM,3:30 PM,1.4354,3:40 PM,1.4941,0.0587,5.87,True,
2026-01-28,NVDA,NVDA260128C00190000,190.0,SIM,3:30 PM,1.662,3:40 PM,1.5536,-0.1083,-10.83,False,
2026-01-30,NVDA,NVDA260130C00190000,190.0,REAL,3:30 PM,0.29,3:40 PM,0.34,0.05,5.0,True,
2026-02-02,NVDA,NVDA260202C00185000,185.0,REAL,3:30 PM,1.17,3:40 PM,1.02,-0.15,-15.0,False,
2026-02-04,NVDA,NVDA260204C00175000,175.0,REAL,3:30 PM,0.61,3:40 PM,0.84,0.23,23.0,True,
2026-02-06,NVDA,NVDA260206C00185000,185.0,REAL,3:30 PM,0.42,3:40 PM,0.88,0.46,46.0,True,
2026-02-09,NVDA,NVDA260209C00190000,190.0,REAL,3:30 PM,0.28,3:40 PM,0.3,0.02,2.0,True,
2026-02-11,NVDA,NVDA260211C00190000,190.0,REAL,3:30 PM,1.1,3:40 PM,1.35,0.25,25.0,True,
2026-02-13,NVDA,NVDA260213C00185000,185.0,REAL,3:30 PM,0.02,3:40 PM,0.02,0.0,0.0,False,
2026-02-18,NVDA,NVDA260218C00185000,185.0,REAL,3:30 PM,2.26,3:40 PM,2.58,0.32,32.0,True,
2026-02-20,NVDA,NVDA260220C00190000,190.0,REAL,3:30 PM,0.09,3:40 PM,0.17,0.08,8.0,True,
2026-02-23,NVDA,NVDA260223C00190000,190.0,REAL,3:30 PM,1.2,3:40 PM,0.9,-0.3,-30.0,False,
