# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)
# Lookback = 365 calendar days
# Generated 2026-06-12 11:00:13  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date (ATM call at the optimal time)
date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
2026-02-13,AAPL,AAPL260213C00257500,257.5,REAL,3:45 PM,0.02,3:50 PM,0.02,0.0,0.0,False,
2026-02-18,AAPL,AAPL260218C00265000,265.0,REAL,3:45 PM,0.04,3:50 PM,0.16,0.12,12.0,True,
2026-02-20,AAPL,AAPL260220C00265000,265.0,REAL,3:45 PM,0.02,3:50 PM,0.03,0.01,1.0,True,
2026-02-23,AAPL,AAPL260223C00267500,267.5,REAL,3:45 PM,0.03,3:50 PM,0.03,0.0,0.0,False,
2026-02-25,AAPL,AAPL260225C00272500,272.5,REAL,3:45 PM,1.61,3:50 PM,2.07,0.46,46.0,True,
2026-02-27,AAPL,AAPL260227C00265000,265.0,REAL,3:45 PM,0.34,3:50 PM,0.2,-0.14,-14.0,False,
2026-03-02,AAPL,AAPL260302C00265000,265.0,REAL,3:45 PM,0.08,3:50 PM,0.06,-0.02,-2.0,False,
2026-03-04,AAPL,AAPL260304C00262500,262.5,REAL,3:45 PM,0.21,3:50 PM,0.28,0.07,7.0,True,
2026-03-06,AAPL,AAPL260306C00257500,257.5,REAL,3:45 PM,0.07,3:50 PM,0.04,-0.03,-3.0,False,
2026-03-09,AAPL,AAPL260309C00257500,257.5,REAL,3:45 PM,2.48,3:50 PM,2.45,-0.03,-3.0,False,
2026-03-11,AAPL,AAPL260311C00260000,260.0,REAL,3:45 PM,0.39,3:50 PM,0.61,0.22,22.0,True,
2026-03-13,AAPL,AAPL260313C00250000,250.0,REAL,3:45 PM,0.22,3:50 PM,0.4,0.18,18.0,True,
2026-03-16,AAPL,AAPL260316C00252500,252.5,REAL,3:45 PM,0.26,3:50 PM,0.3,0.04,4.0,True,
2026-03-18,AAPL,AAPL260318C00250000,250.0,REAL,3:45 PM,0.07,3:50 PM,0.13,0.06,6.0,True,
2026-03-20,AAPL,AAPL260320C00250000,250.0,REAL,3:45 PM,0.09,3:50 PM,0.07,-0.02,-2.0,False,
2026-03-23,AAPL,AAPL260323C00252500,252.5,REAL,3:45 PM,0.22,3:50 PM,0.03,-0.19,-19.0,False,
2026-03-25,AAPL,AAPL260325C00252500,252.5,REAL,3:45 PM,0.08,3:50 PM,0.16,0.08,8.0,True,
2026-03-27,AAPL,AAPL260327C00247500,247.5,REAL,3:45 PM,1.02,3:50 PM,0.98,-0.04,-4.0,False,
2026-03-30,AAPL,AAPL260330C00247500,247.5,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,0.0,False,
2026-04-01,AAPL,AAPL260401C00255000,255.0,REAL,3:45 PM,0.97,3:50 PM,0.64,-0.33,-33.0,False,
2026-04-06,AAPL,AAPL260406C00260000,260.0,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,0.0,False,
2026-04-08,AAPL,AAPL260408C00257500,257.5,REAL,3:45 PM,0.68,3:50 PM,0.76,0.08,8.0,True,
2026-04-10,AAPL,AAPL260410C00260000,260.0,REAL,3:45 PM,0.11,3:50 PM,0.23,0.12,12.0,True,
2026-04-13,AAPL,AAPL260413C00257500,257.5,REAL,3:45 PM,0.31,3:50 PM,1.14,0.83,83.0,True,
2026-04-15,AAPL,AAPL260415C00265000,265.0,REAL,3:45 PM,0.78,3:50 PM,0.94,0.16,16.0,True,
