ticker,entry_date,entry_ref,exit_date,exit_ref,weekly_return,weekly_return_pct,bucket,entry_ref_date,exit_ref_date,entry_fallback,exit_fallback,n_entry_bars,n_exit_bars
ORCL,2024-09-06,141.8415,2024-09-13,161.8285,0.140911,14.09%,up,2024-09-06,2024-09-13,False,False,10,10
ORCL,2024-09-13,161.8285,2024-09-20,167.8305,0.037089,3.71%,up,2024-09-13,2024-09-20,False,False,10,10
ORCL,2024-09-20,167.8305,2024-09-27,168.8635,0.006155,0.62%,flat,2024-09-20,2024-09-27,False,False,10,10
ORCL,2024-09-27,168.8635,2024-10-04,170.706,0.010911,1.09%,flat,2024-09-27,2024-10-04,False,False,10,10
ORCL,2024-10-04,170.706,2024-10-11,175.837,0.030058,3.01%,up,2024-10-04,2024-10-11,False,False,10,10
ORCL,2024-10-11,175.837,2024-10-18,174.746,-0.006205,-0.62%,flat,2024-10-11,2024-10-18,False,False,10,10
ORCL,2024-10-18,174.746,2024-10-25,173.4185,-0.007597,-0.76%,flat,2024-10-18,2024-10-25,False,False,10,10
ORCL,2024-10-25,173.4185,2024-11-01,170.0095,-0.019658,-1.97%,down,2024-10-25,2024-11-01,False,False,10,10
ORCL,2024-11-01,170.0095,2024-11-08,189.211,0.112944,11.29%,up,2024-11-01,2024-11-08,False,False,10,10
ORCL,2024-11-08,189.211,2024-11-15,183.277,-0.031362,-3.14%,down,2024-11-08,2024-11-15,False,False,10,10
ORCL,2024-11-15,183.277,2024-11-22,192.37,0.049613,4.96%,up,2024-11-15,2024-11-22,False,False,10,10
ORCL,2024-11-22,192.37,2024-11-29,182.8025,-0.049735,-4.97%,down,2024-11-22,2024-11-27,False,True,10,10
ORCL,2024-11-29,182.8025,2024-12-06,191.8715,0.049611,4.96%,up,2024-11-27,2024-12-06,True,False,10,10
ORCL,2024-12-06,191.8715,2024-12-13,173.199,-0.097318,-9.73%,down,2024-12-06,2024-12-13,False,False,10,10
ORCL,2024-12-13,173.199,2024-12-20,169.6425,-0.020534,-2.05%,down,2024-12-13,2024-12-20,False,False,10,10
ORCL,2024-12-20,169.6425,2024-12-27,169.0572,-0.003450,-0.34%,flat,2024-12-20,2024-12-27,False,False,10,9
ORCL,2024-12-27,169.0572,2025-01-03,166.0095,-0.018028,-1.80%,down,2024-12-27,2025-01-03,False,False,9,10
ORCL,2025-01-03,166.0095,2025-01-10,154.23,-0.070957,-7.10%,down,2025-01-03,2025-01-10,False,False,10,10
ORCL,2025-01-10,154.23,2025-01-17,160.9745,0.043730,4.37%,up,2025-01-10,2025-01-17,False,False,10,10
ORCL,2025-01-17,160.9745,2025-01-24,183.3385,0.138929,13.89%,up,2025-01-17,2025-01-24,False,False,10,10
ORCL,2025-01-24,183.3385,2025-01-31,169.9485,-0.073034,-7.30%,down,2025-01-24,2025-01-31,False,False,10,10
ORCL,2025-01-31,169.9485,2025-02-07,174.704,0.027982,2.80%,up,2025-01-31,2025-02-07,False,False,10,10
ORCL,2025-02-07,174.704,2025-02-14,173.578,-0.006445,-0.64%,flat,2025-02-07,2025-02-14,False,False,10,10
ORCL,2025-02-14,173.578,2025-02-21,168.0205,-0.032017,-3.20%,down,2025-02-14,2025-02-21,False,False,10,10
ORCL,2025-02-21,168.0205,2025-02-28,164.996,-0.018001,-1.80%,down,2025-02-21,2025-02-28,False,False,10,10
ORCL,2025-02-28,164.996,2025-03-07,155.3225,-0.058629,-5.86%,down,2025-02-28,2025-03-07,False,False,10,10
ORCL,2025-03-07,155.3225,2025-03-14,149.2845,-0.038874,-3.89%,down,2025-03-07,2025-03-14,False,False,10,10
ORCL,2025-03-14,149.2845,2025-03-21,152.901,0.024226,2.42%,up,2025-03-14,2025-03-21,False,False,10,10
ORCL,2025-03-21,152.901,2025-03-28,140.4825,-0.081219,-8.12%,down,2025-03-21,2025-03-28,False,False,10,10
ORCL,2025-03-28,140.4825,2025-04-04,128.5445,-0.084979,-8.50%,down,2025-03-28,2025-04-04,False,False,10,10
ORCL,2025-04-04,128.5445,2025-04-11,132.354,0.029636,2.96%,up,2025-04-04,2025-04-11,False,False,10,10
ORCL,2025-04-11,132.354,2025-04-18,128.61,-0.028288,-2.83%,down,2025-04-11,2025-04-17,False,True,10,10
ORCL,2025-04-18,128.61,2025-04-25,138.316,0.075468,7.55%,up,2025-04-17,2025-04-25,True,False,10,10
ORCL,2025-04-25,138.316,2025-05-02,150.979,0.091551,9.16%,up,2025-04-25,2025-05-02,False,False,10,10
ORCL,2025-05-02,150.979,2025-05-09,150.2,-0.005160,-0.52%,flat,2025-05-02,2025-05-09,False,False,10,10
ORCL,2025-05-09,150.2,2025-05-16,160.2805,0.067114,6.71%,up,2025-05-09,2025-05-16,False,False,10,10
ORCL,2025-05-16,160.2805,2025-05-23,156.214,-0.025371,-2.54%,down,2025-05-16,2025-05-23,False,False,10,10
ORCL,2025-05-23,156.214,2025-05-30,165.25,0.057844,5.78%,up,2025-05-23,2025-05-30,False,False,10,10
ORCL,2025-05-30,165.25,2025-06-06,174.3615,0.055138,5.51%,up,2025-05-30,2025-06-06,False,False,10,10
ORCL,2025-06-06,174.3615,2025-06-13,215.785,0.237573,23.76%,up,2025-06-06,2025-06-13,False,False,10,10
ORCL,2025-06-13,215.785,2025-06-20,205.0085,-0.049941,-4.99%,down,2025-06-13,2025-06-20,False,False,10,10
ORCL,2025-06-20,205.0085,2025-06-27,210.469,0.026635,2.66%,up,2025-06-20,2025-06-27,False,False,10,10
ORCL,2025-06-27,210.469,2025-07-04,229.397,0.089932,8.99%,up,2025-06-27,2025-07-02,False,True,10,10
ORCL,2025-07-04,229.397,2025-07-11,230.5335,0.004954,0.50%,flat,2025-07-02,2025-07-11,True,False,10,10
ORCL,2025-07-11,230.5335,2025-07-18,245.5875,0.065301,6.53%,up,2025-07-11,2025-07-18,False,False,10,10
ORCL,2025-07-18,245.5875,2025-07-25,245.0685,-0.002113,-0.21%,flat,2025-07-18,2025-07-25,False,False,10,10
ORCL,2025-07-25,245.0685,2025-08-01,244.6165,-0.001844,-0.18%,flat,2025-07-25,2025-08-01,False,False,10,10
ORCL,2025-08-01,244.6165,2025-08-08,249.894,0.021575,2.16%,up,2025-08-01,2025-08-08,False,False,10,10
ORCL,2025-08-08,249.894,2025-08-15,248.938,-0.003826,-0.38%,flat,2025-08-08,2025-08-15,False,False,10,10
ORCL,2025-08-15,248.938,2025-08-22,236.044,-0.051796,-5.18%,down,2025-08-15,2025-08-22,False,False,10,10
ORCL,2025-08-22,236.044,2025-08-29,225.5885,-0.044295,-4.43%,down,2025-08-22,2025-08-29,False,False,10,10
ORCL,2025-08-29,225.5885,2025-09-05,233.0985,0.033291,3.33%,up,2025-08-29,2025-09-05,False,False,10,10
ORCL,2025-09-05,233.0985,2025-09-12,292.7455,0.255888,25.59%,up,2025-09-05,2025-09-12,False,False,10,10
ORCL,2025-09-12,292.7455,2025-09-19,308.307,0.053157,5.32%,up,2025-09-12,2025-09-19,False,False,10,10
ORCL,2025-09-19,308.307,2025-09-26,283.561,-0.080264,-8.03%,down,2025-09-19,2025-09-26,False,False,10,10
ORCL,2025-09-26,283.561,2025-10-03,286.444,0.010167,1.02%,flat,2025-09-26,2025-10-03,False,False,10,10
ORCL,2025-10-03,286.444,2025-10-10,293.5215,0.024708,2.47%,up,2025-10-03,2025-10-10,False,False,10,10
